name,place,price
成都蓉上坊,锦江牛王庙巷66号 ,22230
成都罗浮世家二期,高升桥南街8号 ,0
成都交大智能六期,群星路11号 ,0
成都金沙西园4期,金鹏街109号 ,22913
成都大成天府景秀,广都大道189号 ,5639
成都巷上生活馆,广福桥正街28号 ,0
成都蔚蓝卡地亚,人民南路南延线 ,21993
成都麓山国际拉佩维尔,麓山大道二段6号 ,0
成都蓝谷地,静宁路9号 ,15297
成都银都花园,新光路8号 ,19431
成都新城市广场,西大街1号 ,0
成都融城理想,天益街78号 ,16376
成都东苑小区D,金桂路238号 ,20531
成都财富中心,大业路6号（盐市口附近） ,0
成都置信丽都花园城,武侯聚萃街388号 ,0
成都南湖国际社区,双流华阳街道南湖西路18号 ,14944
成都金牛花园,黄金路222号 ,0
成都蓝谷地三四期,锦江区合欢树街1500号 ,0
成都喜年广场,下东大街216号 ,0
成都花间集,龙腾西路2号 ,19819
成都花样年别样城,花样年大道1号 ,0
成都海峡新城,柳台大道东段61号 ,5281
成都国嘉.新视界,锦东路668号 ,0
成都中海常春藤花园,龙腾中路6号 ,0
成都依云镇,光华大道三段1333号 ,5547
成都新里维多利亚,紫瑞大道188号 ,0
成都戛纳滨江,滨河路二段169号 ,0
成都兴元绿洲,新泉路33号(北湖凝翠公园畔) ,0
成都朝阳时代西锦,花都大道西段399号 ,4728
成都锦官丽城亲水湾,新希望大道二段158号 ,0
成都雅郡,静安路368号 ,0
成都时代印象,北东街1号（正成财富领地对面） ,0
成都瀚林花园,二环路东一段28号 ,16316
成都力宝大厦,武侯科华北路62号 ,0
成都明阳家在回廊,蜀汉路367号 ,0
成都蜀郡,华阳华府大道一段518号 ,17879
成都蓝光凯丽香江,锦江区翠柳湾支路199号 ,8154
成都外滩,宏济新路49号 ,0
成都王府花园,芳草街6号 ,13776
成都金地嘉年华城,蜀辉路469号 ,19815
成都龙湖长桥郡,新津县花源镇白云大道419号 ,10796
成都凯华丽景,天府大道四段6号 ,0
成都东苑小区B,金桂路238号 ,20167
成都索尔龙舟,静渝路2号 ,0
成都曦城,金仙桥路8号 ,10804
成都鸿运之星,蜀清路239号 ,6856
成都中海国际社区碧林,汇川街599号 ,8557
成都祥域,金凤路1号（金沙车站附近） ,9807
成都翡翠城二期,华润路2号（临翡翠城商业街） ,0
成都世纪金沙,青羊蜀辉路235号 ,22399
成都建信奥林匹克花园,光华大道三段336号 ,0
成都中海国际社区林庭叠院,蓝岸街555号 ,0
成都成都花园,青羊青羊大道8号 ,19794
成都梧桐世家,玉林西路96号 ,16038
成都爱家馨城,永盛南街11号 ,0
成都鹭岛国际二期,武侯区鹭岛路35号 ,12265
成都鹭岛国际社区三期,武侯鹭岛路36号 ,21501
成都培风小区,双星大道培风路80号 ,11869
成都中海国际社区熙岸,碧林街577号 ,0
成都上行锦绣,荆竹坝东街333号 ,0
成都蓝色空间,长兰路1号 ,8521
成都玲珑南域,新乐中街280号 ,8971
成都兴元嘉园,果堰街8号（草金立交旁） ,7400
成都和信派都,一环路南一段6号 ,0
成都双楠花园,广福桥西街1号 ,0
成都蓉铁花园,荆竹西路159号 ,11442
成都慕和南道,迎宾大道 ,16305
成都凯丽滨江,天环街680号 ,9254
成都保利公园198,新都蜀龙路1980号（三环蜀龙路熊猫基地旁） ,11380
成都双楠所有阳光,二环路西一段59号 ,8573
成都翡翠城三期,琉璃路718号 ,0
成都卓锦城二期,成都市锦江区国香街188号 ,17896
成都香瑞湖花园四期,温江凤凰村 ,0
成都富丽锦城,西林一街18号 ,0
成都高地,建设路9号（成都六医院附近） ,0
成都二十一世纪花园,贝双路111号 ,13945
成都成都后花园,西门金牛大道、金牛宾馆向西2.8公里 ,17854
成都阳光舜苑,崔家店路262号 ,0
成都海科名城,海科路1号(西南财经大学柳林校区附近） ,4594
成都星语双城,武青北路9号 ,11175
成都商鼎国际,人民南路4段27号 ,16845
成都金房苑琴园,金房苑东路26号 ,0
成都金沙兰亭,金泽路1号（金沙遗址正门附近） ,0
成都世代锦江凯旋门,滨江西路8号 ,0
成都盛世名居,会龙路59号 ,16513
成都凯莱帝景,桐梓林北段2号 ,0
成都金色花园,武侯武侯大道双楠段60号 ,4012
成都冠城花园,小南街123号 ,16786
成都金沙雍锦湾花园别墅,青羊金泽路118号 ,0
成都正成财富领地,东珠市街85号 ,13306
成都优品道二期,青羊大道99号 ,10608
成都金茂礼都,洗面桥街20号 ,0
成都花样年华风华庭,广福桥北街8号 ,0
成都78号观邸,锦里西路78号 ,11668
成都棕榈南岸,天府大道南段1081号 ,0
成都锦官秀城,武侯棕树东街1、2号 ,0
成都锦洲花园,三官堂街31号 ,0
成都时代广场,总府路2号 ,0
成都摩卡筑,群众路69号 ,22854
成都蓝色理想,龙泉驿蔚蓝路2号 ,5306
成都百仁安盛,黄金东二路66号 ,0
成都水漪袅铜,新希望路2号 ,0
成都金都花园,蜀汉中路526号 ,0
成都美丽星,龙祥路1号（龙祥路与龙华北路交汇处） ,0
成都优客联邦,武侯二环路南四段69号 ,18113
成都优地B区,武侯区佳灵路33号 ,0
成都锦西民园,星辰东一街1号 ,0
成都润新花园,机场路口 ,11065
成都理想中心,高新区高新区天益街38号 ,0
成都长城半岛城邦,濯锦东路（南延线·三环外·锦江旁） ,26966
成都红牌楼广场,武侯区佳灵路7号 ,0
成都沙河源上金府,洞子口路168号 ,0
成都交大智能八期,银沙北街1号 ,0
成都华润凤凰城二期,高新区天府二街966号 ,9305
成都红南港MITOWN,二环路西一段5号 ,9914
成都舜苑一里阳光,望从东路308号（高新西区配套商务中心附近） ,5006
成都康河郦景三期,少陵路50号 ,0
成都上河新城,大安西路58号 ,0
成都华宇阳光四季,驷马桥新横街14号 ,0
成都师大现代花园,龙城大道9号（四川师范大学新校区内） ,5485
成都中铁双龙湾,清水滨河路788号 ,0
成都育才都市家园,晨辉路166号 ,0
成都西城天下,蜀汉路347号 ,0
成都置信丽都花园,丽都路2号/6号/16号/76号 ,0
成都熙城国际,营门口路48号 ,0
成都御源大湖区,驿都大道中路900号 ,5862
成都西城公馆,一品天下大街339号 ,0
成都半山卫城,胜利镇长兴路168号 ,10680
成都铸信境界,贝森路323号 ,0
成都珠江国际花园,天宝西街89号 ,6279
成都置信巴厘岛,城南三环内 武侯立交内侧 ,19450
成都镏金岁月,牛沙北路166号 ,9003
成都利通出水芙蓉,新希望大道398号 ,6918
成都白鸽岛尚,蜀西南三路19号 ,7856
成都花样年花郡,双庆路99号 ,10347
成都齐力花园,青羊大道318号 ,17938
成都美丽朋城,东顺路174号 ,0
成都曼哈顿二期,新希望路4号 ,0
成都锦江印象,青莲上街5号 ,0
成都云影苑,云影路1号（二环路西一段外侧） ,0
