经纬度
"104.010512,30.651283"
"104.063919,30.637938"
"104.038638,30.609387"
"104.081316,30.675019"
"103.938437,30.984768"
"104.032052,30.666593"
"104.077203,30.658174"
"104.055687,30.633983"
"104.034629,30.680621"
"104.028961,30.650724"
"104.083339,30.668308"
"104.179023,30.565140"
"104.121091,30.648903"
"104.064966,30.688930"
"103.964140,30.667230"
"104.062186,30.731844"
"104.050805,30.641111"
"104.040194,30.671056"
"104.058861,30.628735"
"104.034900,30.680484"
"104.101925,30.638761"
"104.086954,30.689806"
"103.923246,30.721197"
"103.720950,30.833710"
"103.993301,30.664984"
"104.099405,30.635055"
"104.025084,30.673078"
"104.085290,30.665990"
"104.304430,30.613601"
"104.006264,30.671955"
"104.030774,30.675786"
"104.062596,30.628430"
"104.092300,30.647696"
"103.919573,30.719298"
"104.042525,30.687375"
"104.065009,30.500720"
"104.052391,30.633413"
"104.061806,30.628782"
"104.069816,30.627292"
"104.050066,30.632000"
"104.055711,30.634409"
"104.050627,30.689398"
"104.299916,30.604332"
"104.015589,30.690802"
"104.066541,30.572269"
"104.105771,30.645882"
"104.027423,30.684060"
"104.045619,30.698369"
"104.082258,30.623250"
"103.931117,30.574981"
"104.039675,30.637714"
"104.039162,30.650765"
"104.037924,30.683879"
"104.041078,30.631447"
"103.992633,30.663131"
"104.029744,30.647636"
"104.063952,30.634093"
"104.070774,30.700841"
"104.037240,30.665436"
"104.008191,30.879060"
"103.830826,30.727202"
"104.024236,30.667472"
"104.080402,30.642907"
"104.043773,30.685288"
"104.071606,30.680911"
"104.115639,30.682253"
"104.050913,30.771897"
"103.992808,30.666823"
"104.081132,30.640911"
"104.066541,30.572269"
"104.062421,30.628791"
"104.100835,30.666717"
"104.036920,30.673121"
"104.040872,30.683047"
"104.077000,30.615100"
"104.029780,30.642692"
"104.058400,30.623440"
"104.057843,30.650057"
"104.064607,30.684265"
"104.078541,30.637683"
"104.050712,30.678649"
"104.036960,30.646704"
"104.072742,30.671205"
"104.073587,30.634383"
"104.012821,30.880945"
"104.051193,30.690132"
"104.043453,30.716861"
"104.101982,30.662154"
"103.885729,30.803044"
"104.069198,30.669446"
"104.110235,30.689637"
"104.094474,30.671951"
"104.060042,30.673406"
"104.047901,30.665568"
"104.055376,30.627768"
"104.061066,30.627344"
"104.054193,30.629779"
"104.017173,30.709083"
"104.031423,30.666294"
"104.033565,30.667686"
"104.088916,30.644170"
"104.101066,30.638867"
"104.066541,30.572269"
"104.101513,30.656512"
"104.072526,30.622957"
"104.021297,30.649914"
"104.027839,30.675469"
"103.995185,30.647414"
"103.811592,30.695326"
"103.974572,30.722315"
"104.076180,30.615000"
"104.052783,30.672188"
"104.093100,30.640390"
"104.054922,30.630335"
"104.037518,30.709970"
"104.040610,30.646290"
"104.075811,30.667906"
"104.052578,30.633614"
"103.656613,30.629381"
"104.056872,30.640647"
"104.043164,30.643087"
"104.033682,30.685747"
"104.103948,30.636496"
"103.702714,30.493406"
"104.020851,30.667590"
"104.020599,30.684046"
"104.060701,30.626373"
"104.039320,30.669385"
"104.044404,30.697628"
"104.055450,30.636684"
"104.003056,30.637450"
"104.045423,30.701632"
"104.090951,30.684493"
"104.028103,30.674744"
"104.058649,30.687013"
"104.106389,30.650835"
"104.054488,30.630014"
"104.066541,30.572269"
"104.030114,30.674520"
"104.058989,30.620878"
"104.034589,30.682010"
"104.165354,30.696432"
"104.104543,30.649686"
"103.920725,30.724008"
"104.026300,30.640581"
"104.038323,30.646354"
"104.092629,30.674772"
"104.098252,30.480710"
"104.107576,30.653613"
"104.047141,30.677823"
"104.097795,30.650095"
"103.631256,30.994374"
"104.051586,30.673535"
"104.031114,30.676831"
"104.017813,30.674103"
"104.095033,30.681382"
"104.094847,30.655539"
"103.991110,30.667239"
"104.024910,30.673201"
"104.029608,30.666132"
"104.066541,30.572269"
"104.048561,30.621821"
"104.056822,30.640668"
"104.318420,30.857253"
"104.090318,30.655252"
"104.030699,30.651048"
"104.045650,30.632803"
"104.057736,30.625911"
"104.056813,30.672675"
"104.091250,30.678250"
"104.102483,30.663483"
"104.104833,30.654558"
"104.021415,30.675356"
"104.026992,30.670823"
"104.033366,30.647181"
"103.819815,30.855537"
"104.098728,30.647620"
"104.027048,30.676082"
"104.077304,30.662078"
"104.113917,30.651734"
"104.046605,30.709158"
"104.050199,30.607366"
"104.089177,30.694134"
"104.073089,30.612085"
"104.074609,30.625508"
"104.099945,30.629112"
"104.059516,30.628350"
"104.037405,30.703681"
"104.178070,30.814455"
"104.027303,30.647194"
"104.038357,30.684354"
"104.105858,30.647397"
"104.033090,30.649824"
"104.053735,30.678544"
"104.088040,30.655310"
"104.090813,30.702476"
"104.045578,30.695071"
"104.089354,30.682830"
"104.020911,30.699928"
"104.028764,30.683499"
"104.037360,30.650330"
"104.049958,30.703262"
"104.057782,30.645629"
"104.074495,30.628569"
"104.055647,30.632430"
"104.017400,30.686103"
"103.559370,30.815617"
"104.029476,30.651810"
"103.824641,30.733870"
"104.036810,30.679890"
"104.113435,30.654730"
"104.028086,30.671601"
"104.040569,30.661333"
"104.054223,30.670799"
"104.016828,30.767847"
"104.083956,30.598667"
"104.081570,30.667884"
"104.076357,30.607703"
"104.088440,30.671560"
"104.045310,30.689971"
"104.040840,30.636363"
"104.086808,30.655772"
"104.111389,30.683367"
"104.036817,30.681651"
"104.032041,30.629839"
"104.049800,30.669770"
"103.947089,30.780657"
"104.107605,30.685398"
"104.112223,30.685417"
"104.027493,30.673169"
"104.065355,30.670043"
"104.030569,30.647107"
"104.110613,30.682837"
"104.021592,30.676200"
"104.039139,30.707025"
"104.075273,30.632819"
"104.058251,30.697893"
"104.112100,30.685846"
"104.039408,30.642840"
"104.045825,30.631143"
"104.043775,30.694755"
"104.008267,30.632244"
"104.056939,30.676323"
"104.044590,30.691700"
"104.052451,30.672573"
"104.055070,30.678000"
"104.145334,30.595537"
"104.118671,30.680948"
"104.037644,30.664914"
"104.038161,30.641898"
"104.022684,30.678089"
"104.037406,30.685060"
"103.618276,30.921405"
"104.026831,30.675163"
"104.049559,30.643879"
"104.103204,30.614848"
"104.034278,30.684524"
"104.017960,30.685726"
"104.076332,30.613874"
"104.110782,30.686103"
"104.076736,30.814495"
"104.034489,30.679887"
"104.134960,30.597185"
"104.267233,30.724449"
"104.066541,30.572269"
"104.097020,30.626170"
"104.038289,30.646602"
"104.021669,30.677397"
"103.995360,30.708373"
"103.987153,30.676160"
"104.008678,30.638194"
"104.025558,30.674374"
"104.126280,30.672310"
"104.154977,30.630737"
"104.238591,30.574102"
"103.960683,30.758547"
"104.030185,30.673409"
"104.058885,30.634293"
"104.019490,30.667000"
"104.050671,30.771758"
"103.526576,30.575284"
"104.026549,30.674346"
"104.046998,30.665956"
"104.078381,30.649668"
"104.058079,30.627631"
"103.915945,30.814850"
"104.017552,30.672895"
"103.878881,30.818690"
"103.558542,30.867655"
"104.035626,30.705229"
"103.994690,30.670969"
"103.957250,30.350106"
"104.125251,30.673946"
"104.023710,30.693661"
"104.032204,30.680148"
"104.025324,30.696321"
"104.020490,30.674855"
"104.098337,30.649041"
"103.948769,30.984232"
"104.041399,30.692075"
"104.115301,30.662754"
"104.054142,30.630742"
"104.016630,30.693080"
"103.993644,30.640522"
"104.113313,30.683094"
"104.066541,30.572269"
"104.055627,30.503927"
"103.890814,30.793660"
"104.067610,30.610360"
"103.919245,30.711815"
"104.066541,30.572269"
"104.136217,30.598297"
"104.105779,30.619870"
"104.022978,30.678494"
"104.118910,30.625919"
"104.047273,30.621222"
"104.102365,30.615752"
"104.066541,30.572269"
"104.122511,30.620212"
"104.099303,30.649002"
"104.074867,30.633296"
"104.036279,30.682554"
"104.057393,30.721722"
"103.944232,30.777680"
"104.251310,30.877011"
"103.960336,30.674605"
"104.123656,30.679386"
"104.067316,30.719551"
"104.066541,30.572269"
"104.124223,30.603329"
"103.987521,30.638016"
"104.259317,30.888123"
"103.995791,30.630015"
"104.093551,30.587496"
"103.991621,30.642763"
"103.646386,30.982427"
